message,label
"Dear Customer, A/C XX1234 debited by INR 150.00 on 02-Feb-25. Trf to VPA mobile@upi. Ref No 402381. Not you? Call 1800111109 -SBI",1
"Your a/c XXXXX7854 credited INR 5000.00 by UPI REF NO 3948572945 on 25-Jan-24. Bal: INR 15423.67 -HDFC Bank",1
"UPI: INR 299.00 paid to MAHESH KUMAR (UPI Ref 847294). Not you? Block txn: https://cutt.ly/axisbank -Axis Bank",1
"Received Rs.1200.00 from VPA rajesh@okicici UPI Ref 847362. Current balance: Rs.23456.00 -ICICI Bank",1
"Alert: Acct XXX5678 debited Rs.999.00 on 15-Mar-24 to AMAZONPAY.UPI. Call 1800-267-6636 if unrecognized -Kotak Mahindra",1
"UPI payment of ₹6500.00 to JIOFIBER Payment (UPI Ref 873452) successful. Avl Bal: ₹23415.00 -IDFC FIRST",1
"Your AXIS a/c 56XX89 debited ₹450.00 on 01-Apr-24. UPI txn to VPA electricity@ubi. Dispute: 18004195959",1
"Money sent: ₹120.00 to VPA rahul@ybl UPI Ref 923745. Current balance: ₹5432.00 -Yes Bank",1
"UPI AutoPay: ₹999.00 deducted for Netflix SUBSCRPTN Ref 847362. Next due 05-Apr-24 -INDUSIND Bank",1
"Your SBI a/c 38XX91 credited ₹25000.00 (UPI Ref 384729) from VPA salary@hdfc. Bal: ₹67432.00",1
"Your OTP for Amazon login is 784512. Valid for 10 mins. Do not share with anyone.",0
"Flipkart Big Billion Days! Get 60% off on smartphones. Shop now: http://fkrt.in/AbcXyz",0
"Google Alert: New login detected from Mumbai(IN) on Chrome Windows. Approve? Reply Y/N",0
"Airtel: Your bill of ₹647 due on 05-Mar-24. Pay now: http://airtel.in/pay to avoid disconnection",0
"Rahul added you on Facebook! View profile: https://fb.me/abc123",0
"Swiggy: Your order #847294 has been delivered. Rate your experience: http://swiggy.com/rate",0
"Job Alert: Wipro hiring freshers! CTC 6LPA. Apply by 30-Mar: http://wipro-careers.com",0
"IRCTC: WL12 for 12564 NZM-CBE Exp has been CONFIRMED. Charting at 19:00 hrs",0
"Your Netflix subscription will renew on 15-Apr-24 for ₹649. Manage account: https://netflix.com",0
"Loan approved! Get ₹5L personal loan at 10.9% interest. Call 9876543210 -HDFC Loans",0
"UPI Alert: Acct XX8912 debited ₹999.00 to VPA zomato@upi on 12-Apr-24. Ref 847294. Dispute: 18004251234 -ICICI"
"Your PNB a/c 45XX67 credited ₹2500.00 via UPI Ref 984732. Avl Bal: ₹15432.00"